GEOID,B01003_001E_x,B02001_002E_x,B01001_026E_x,B01003_001M_x,B02001_002T,B01001_026T,B01003_001E_y,B01003_001M_y,B02001_002E_y,B02001_002M,B01001_026E_y,B01001_026M,state,county,tract
10003010800,4649.284998819256,3993.395615457398,2393.589281705641,400.80340541707733,495.68346913027744,309.15753434335926,4653,805,3921,816,2304,238,10,003,010800
10003010900,2718.699667030359,2554.67555438901,1448.537944763913,212.88827870555386,322.9921691085207,248.4750496187885,2504,302,2235,268,1182,193,10,003,010900
10003011000,3163.0,2695.7799010786916,1654.765412738362,309.65782132876484,422.55977064446233,236.74638278188547,3010,306,2487,333,1673,178,10,003,011000
10003011100,2655.7061224489794,2296.7122498377603,1330.89146838618,242.6673581786213,369.04904399329035,167.46141315633457,2710,291,2377,308,1292,168,10,003,011100
10003011201,2246.0,1586.2838283828382,1159.1361386138615,304.19725908852666,290.82114901100556,205.88221900796202,3001,547,2428,562,1375,238,10,003,011201
10003011202,3625.63154543953,3170.5900620867496,1933.0386394024235,356.80387834092346,430.343095206326,210.14740103841743,3783,564,3276,589,2002,323,10,003,011202
10003011203,4481.733320147866,3113.4143661773473,2346.1130978052984,727.2549010281684,586.5115074679932,515.5025103041701,4716,625,2633,412,2414,422,10,003,011203
10003011204,3301.0570354457573,2759.371770731666,1764.3759965831339,333.44431904923346,400.7353418115717,241.29176179173854,3225,315,2795,352,1772,247,10,003,011204
10003011205,2016.7254901960785,1860.21243930098,992.9108196911983,128.49645567586265,191.27055320967062,130.433406721558,1999,366,1562,325,1092,220,10,003,011205
10003011206,4143.110123792927,3888.770209429582,2172.3336846045045,449.6641173712385,613.0413861476219,397.35843532120646,3881,568,3747,576,2021,316,10,003,011206
10003011300,2370.235294117647,1936.3250040272521,1368.2151495609419,225.0737732231195,268.9414646362034,172.58079375752231,2340,404,2216,402,1351,327,10,003,011300
10003011400,3405.192569539,2924.4530052833534,1806.527702362027,227.97794304985877,307.22538782529875,188.94306650391258,3206,541,2781,581,1665,199,10,003,011400
10003011500,2816.0,2651.716535433071,1432.188976377953,227.93490653163087,349.5149293005285,179.13023570779396,2957,405,2638,389,1456,233,10,003,011500
10003011600,3268.9447424462483,3046.2858343883418,1651.249425184627,313.1901570195871,430.53681550049197,228.85544290406935,3520,664,3078,676,1796,337,10,003,011600
10003011700,3988.520756948551,3592.7133535872445,2163.7471383751426,569.1812751613376,555.0143948034838,305.0072512889345,4440,487,4236,454,2253,240,10,003,011700
10003011800,3986.0900365953294,3676.846205556923,2004.3691619940246,1003.3492819997798,995.0232481484893,464.4012350367845,4211,534,3642,524,2375,331,10,003,011800
10003011900,3574.1570871882004,3168.4599312139057,1776.3156508291038,581.1398831204483,588.0533307350648,310.6608509527497,2999,348,2712,296,1579,187,10,003,011900
10003012000,4418.1448783131955,3705.7567172697923,2261.696378280096,689.4869829245557,677.9744665747787,414.15246648260586,4368,595,3151,508,2182,321,10,003,012000
10003012100,3151.0857142857144,2569.505708979312,1548.1830033066105,659.9228811964663,681.0412372155093,419.21215255017427,3190,445,2741,449,1618,258,10,003,012100
10003012200,4424.456947683186,3218.721096401869,2315.3624938412277,757.9789798623591,741.272440302224,460.78290090870104,4621,577,3068,499,2069,328,10,003,012200
10003012300,2536.8964432697785,2202.6084549191414,1279.0408780989542,341.3309023129413,429.67401920067607,248.00388645581955,2716,352,2209,389,1429,244,10,003,012300
10003012400,4568.802393493149,3213.1578255048285,2230.599063331497,681.2585600562951,688.3526038153137,410.9248111549684,4213,400,3352,399,2032,250,10,003,012400
10003012500,5397.002654167244,5001.2158307419895,2814.3381492632216,1077.6200310116465,1328.4689928296993,795.2531715705944,5015,962,3451,604,2453,483,10,003,012500
